db_id,sample_id,target_complexity,question,target,no_bos_pred,with_bos_pred,vt,ba,BO_complexity
bike_share_1,9034,5,How many stations in San Francisco are installed in 2014?,"SELECT SUM(CASE WHEN city = 'San Francisco' AND SUBSTR(installation_date, -4) = '2014' THEN 1 ELSE 0 END) FROM station",SELECT COUNT(*) FROM station WHERE city = 'San Francisco' AND installation_date LIKE '2014%',"SELECT COUNT(*) FROM station WHERE city = 'San Francisco' AND SUBSTRING(installation_date, -4) = '2014'","SELECT station.name, station.installation_date, station.city FROM station WHERE (SUBSTRING(CAST(station.installation_date AS TEXT), [placeholder-type:numeric], INSTR(station.installation_date, '/') - [placeholder-type:numeric]) = '[placeholder-type:string]' AND SUBSTRING(CAST(station.installation_date AS TEXT), INSTR(station.installation_date, '/') + [placeholder-type:numeric], -[placeholder-type:numeric]) >= '[placeholder-type:string]' AND SUBSTRING(CAST(station.installation_date AS TEXT), -[placeholder-type:numeric]) = '[placeholder-type:string]') OR (SUBSTRING(CAST(station.installation_date AS TEXT), [placeholder-type:numeric], INSTR(station.installation_date, '/') - [placeholder-type:numeric]) IN ('[placeholder-type:string]', '[placeholder-type:string]', '[placeholder-type:string]', '[placeholder-type:string]', '[placeholder-type:string]', '[placeholder-type:string]', '[placeholder-type:string]') AND SUBSTRING(CAST(station.installation_date AS TEXT), -[placeholder-type:numeric]) = '[placeholder-type:string]')","The virtual table describes the names, installation dates, and cities of bike stations from the 'station' table that meet specific date criteria. The placeholders in the WHERE clause represent various components of the installation date, allowing for filtering based on month, day, and year values.",15
donor,3266,7,How many donors who donated to the city of Pocatello are not teachers?,SELECT COUNT(donationid) FROM donations WHERE donor_city = 'Pocatello' AND is_teacher_acct = 'f',SELECT COUNT(DISTINCT donor_acctid) FROM donations WHERE donor_city = 'Pocatello' AND is_teacher_acct = 'f';,SELECT COUNT(donations.donationid) FROM donations WHERE donations.donor_city = 'Pocatello' AND donations.is_teacher_acct = 'f',SELECT COUNT(donations.donationid) FROM donations WHERE donations.is_teacher_acct = '[placeholder-type:string]' AND donations.donor_state = '[placeholder-type:string]',The virtual table counts the number of donations made by either teachers or non-teachers from a specific state. The placeholders represent the type of donor account and the state from which the donation was made.,7
legislator,4903,6,How many of the legislators are female?,SELECT COUNT(gender_bio) FROM current WHERE gender_bio = 'F',SELECT COUNT(*) FROM current WHERE gender_bio = 'Female';,SELECT COUNT(*) FROM current WHERE gender_bio = 'F',"SELECT COUNT(subquery_q0.cid) FROM (SELECT current.bioguide_id FROM current AS T1 INNER JOIN ""current-terms"" AS T2 ON T1.bioguide_id = T2.bioguide WHERE T1.gender_bio = 'F' GROUP BY T2.bioguide HAVING COUNT(T2.bioguide) > 4)","The virtual table counts the number of female legislators who have served more than four terms in the current-terms table. It retrieves the bioguide_id from the current table, joins it with the current-terms table based on the bioguide_id, filters for female legislators, groups the results by bioguide_id, and applies a condition to count only those with more than four terms.",15
legislator,4829,6,List the full name of legislators whose born in 1960.,SELECT official_full_name FROM current WHERE birthday_bio LIKE '1960%',SELECT first_name || ' ' || middle_name || ' ' || last_name AS full_name FROM current WHERE birthday_bio LIKE '1960-%';,SELECT official_full_name FROM current WHERE birthday_bio LIKE '1960-%',"SELECT current.official_full_name FROM current INNER JOIN ""current-terms"" AS T2 ON T1.bioguide_id = T2.bioguide WHERE current-terms.start = '[placeholder-type:string]'",The virtual table describes the official full names of legislators from the 'current' table who have a term starting on a specific date. The query joins the 'current' table with the 'current-terms' table using the bioguide ID to filter for legislators whose terms began on the specified start date.,7
legislator,4825,6,How many of the legislators are male?,SELECT COUNT(*) FROM current WHERE gender_bio = 'M',SELECT COUNT(*) FROM current WHERE gender_bio = 'male';,SELECT COUNT(*) FROM current WHERE current.gender_bio = 'M',SELECT COUNT(*) FROM current WHERE current.religion_bio = '[placeholder-type:string]' AND current.gender_bio = '[placeholder-type:string]',The virtual table counts the number of legislators from the 'current' table who belong to a specific religion and gender. The placeholders in the WHERE clause represent the religion and gender of the legislators.,7
legislator,4756,6,How many males were members of the current legislators?,SELECT COUNT(*) FROM current WHERE gender_bio = 'M',SELECT COUNT(*) FROM current WHERE gender_bio = 'male';,SELECT COUNT(*) FROM current WHERE current.gender_bio = 'M',SELECT COUNT(*) FROM current WHERE current.religion_bio = '[placeholder-type:string]' AND current.gender_bio = '[placeholder-type:string]',The virtual table counts the number of legislators from the 'current' table who belong to a specific religion and gender. The placeholders in the WHERE clause represent the religion and gender of the legislators.,7
works_cycles,7279,6,How many products are out of stock?,SELECT COUNT(ProductID) FROM ProductVendor WHERE OnOrderQty = 0,SELECT COUNT(p.productid) FROM product p JOIN productinventory pi ON p.productid = pi.productid WHERE pi.quantity = 0,SELECT COUNT(product.productid) FROM product WHERE product.safetystocklevel = 0,SELECT COUNT(product.productid) FROM product WHERE product.name LIKE '[placeholder-type:string]' OR product.name LIKE '[placeholder-type:string]',"The virtual table counts the number of products from the 'product' table that match specific name criteria. The placeholders in the WHERE clause represent the names of the products being searched for, allowing for flexible queries based on user input.",6
works_cycles,7457,6,"What is the cost for the product ""847""?",SELECT StandardCost FROM ProductCostHistory WHERE ProductID = 847,"SELECT standardcost, listprice FROM product WHERE productid = '847';",SELECT standardcost FROM product WHERE productid = 847,"SELECT product.listprice FROM product INNER JOIN ProductListPriceHistory AS T2 ON T1.ProductID = T2.ProductID WHERE product.listprice - product.standardcost > [placeholder-type:numeric] AND STRFTIME('%Y-%m-%d', productlistpricehistory.startdate) >= '[placeholder-type:string]'","The virtual table displays the list prices of products from the 'product' table that have a profit margin greater than a specified numeric value, and where the price history start date is on or after a specified date. The placeholders allow users to input their desired profit threshold and date for filtering the results.",9
works_cycles,7364,7,What is the name of the state that Racine belongs to?,SELECT T2.Name FROM Address AS T1 INNER JOIN StateProvince AS T2 ON T1.StateProvinceID = T2.StateProvinceID WHERE T1.City = 'Racine',SELECT sp.name FROM stateprovince AS sp JOIN salesterritory AS st ON sp.countryregioncode = st.countryregioncode WHERE st.name = 'Racine';,SELECT sp.name FROM stateprovince sp JOIN address a ON sp.stateprovinceid = a.stateprovinceid WHERE a.city = 'Racine',No BOs provided,No BOs,No BOs provided
address,5223,7,How many postal points are there under the congress representative in Puerto Rico?,SELECT COUNT(T2.zip_code) FROM congress AS T1 INNER JOIN zip_congress AS T2 ON T1.cognress_rep_id = T2.district WHERE T1.state = 'Puerto Rico',SELECT COUNT(zip_data.zip_code) FROM zip_data JOIN zip_congress ON zip_data.zip_code = zip_congress.zip_code WHERE zip_data.state = 'Puerto Rico' AND zip_congress.district = (SELECT cognress_rep_id FROM congress WHERE state = 'Puerto Rico' AND abbreviation = 'PR'),SELECT COUNT(zip_data.zip_code) FROM congress INNER JOIN zip_data ON congress.abbreviation = zip_data.state WHERE congress.state = 'Puerto Rico',SELECT COUNT(zip_data.city) FROM congress INNER JOIN state AS T2 ON T1.abbreviation = T2.abbreviation INNER JOIN zip_data AS T3 ON T2.abbreviation = T3.state WHERE congress.first_name = '[placeholder-type:string]' AND congress.last_name = '[placeholder-type:string]' AND zip_data.employees = [placeholder-type:numeric],"The virtual table counts the number of cities associated with a specific congress representative based on their first and last names, while also filtering for cities that have a certain number of employees. It joins the 'congress' table with the 'state' table to match the state abbreviation and then joins with the 'zip_data' table to access city information.",10
cookbook,8923,7,Calculate the percentage of recipes with no cholesterol included and have a cooking time less than 20 minutes among all recipes.,SELECT CAST(SUM(CASE WHEN T1.cook_min < 20 AND T2.cholestrl = 0 THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(*) FROM Recipe AS T1 INNER JOIN Nutrition AS T2 ON T1.recipe_id = T2.recipe_id,SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM recipe)) AS percentage_no_cholesterol_recipes FROM recipe r JOIN nutrition n ON r.recipe_id = n.recipe_id WHERE n.cholestrl = '0' AND r.cook_min < 20;,SELECT (COUNT(CASE WHEN nutrition.cholestrl = '0' AND recipe.cook_min < 20 THEN 1 END) * 100.0 / COUNT(*)) AS percentage_no_cholesterol FROM recipe INNER JOIN nutrition ON recipe.recipe_id = nutrition.recipe_id,SELECT AVG(nutrition.calories) FROM ingredient INNER JOIN Quantity AS T2 ON T2.ingredient_id = T1.ingredient_id INNER JOIN Nutrition AS T3 ON T3.recipe_id = T2.recipe_id WHERE ingredient.name = '[placeholder-type:string]',"The virtual table calculates the average calorie content of recipes that include a specific ingredient. It joins the 'ingredient', 'quantity', and 'nutrition' tables to gather the necessary data, filtering by the name of the ingredient provided as a placeholder.",8
books,5997,7,How many addresses are from the Philippines?,SELECT COUNT(T2.country_id) FROM address AS T1 INNER JOIN country AS T2 ON T2.country_id = T1.country_id WHERE T2.country_name = 'Philippines',SELECT COUNT(*) FROM address WHERE country_id = '[PLACEHOLDER-TYPE:STRING]' AND country_name = 'Philippines';,SELECT COUNT(*) FROM address INNER JOIN country ON address.country_id = country.country_id WHERE country.country_name = 'Philippines',SELECT COUNT(*) FROM customer_address INNER JOIN address_status AS T2 ON T1.status_id = T2.status_id WHERE address_status.address_status = '[placeholder-type:string]',The virtual table counts the number of customer addresses that have a specific status from the 'address_status' table. It joins the 'customer_address' table with the 'address_status' table to filter the results based on the address status provided by the user.,7
books,6042,7,How many books have been published in Japanese?,SELECT COUNT(*) FROM book_language AS T1 INNER JOIN book AS T2 ON T1.language_id = T2.language_id WHERE T1.language_name = 'Japanese',SELECT COUNT(b.book_id) FROM book b JOIN book_language bl ON b.language_id = bl.language_id WHERE bl.language_code = 'ja',SELECT COUNT(*) FROM book INNER JOIN book_language ON book.language_id = book_language.language_id WHERE book_language.language_name = 'Japanese',SELECT COUNT(*) FROM book INNER JOIN publisher AS T2 ON T1.publisher_id = T2.publisher_id WHERE publisher.publisher_name = '[placeholder-type:string]' AND book.num_pages < [placeholder-type:numeric],The virtual table counts the number of books from the 'book' table that are published by a specific publisher and have a number of pages less than a specified value. The placeholders represent the publisher's name and the maximum number of pages for filtering the results.,9
books,5992,6,List all of the books that were published in 1995.,"SELECT title FROM book WHERE STRFTIME('%Y', publication_date) = '1995'",SELECT title FROM book WHERE publication_date = '1995-01-01';,"SELECT book.title FROM book WHERE STRFTIME('%Y', book.publication_date) = '1995'","SELECT book.title, publisher.publisher_name FROM book INNER JOIN publisher AS T2 ON T1.publisher_id = T2.publisher_id WHERE STRFTIME('%Y', book.publication_date) = '[placeholder-type:string]' AND book.num_pages * [placeholder-type:numeric] > (SELECT AVG(book.num_pages) FROM book) * [placeholder-type:numeric]","The virtual table describes the titles of books along with their respective publisher names from the 'book' and 'publisher' tables. It filters the results to include only those books published in a specific year, indicated by a placeholder for the year, and ensures that the number of pages in each book, when multiplied by a specified numeric value, exceeds the average number of pages across all books, also multiplied by a different numeric placeholder.",14
trains,702,7,What is the total number of short cars on all the trains that run in the east direction?,SELECT SUM(CASE WHEN T1.len = 'short' then 1 ELSE 0 END)as count FROM cars AS T1 INNER JOIN trains AS T2 ON T1.train_id = T2.id WHERE T2.direction = 'east',SELECT COUNT(*) FROM cars JOIN trains ON cars.train_id = trains.id WHERE cars.len = 'short' AND trains.direction = 1;,SELECT COUNT(cars.id) FROM cars JOIN trains ON cars.train_id = trains.id WHERE trains.direction = 'east' AND cars.len = 'short',SELECT COUNT(trains.id) FROM trains WHERE trains.direction = '[placeholder-type:string]',"The virtual table counts the number of trains from the 'trains' table that are running in a specific direction. The placeholder in the WHERE clause represents the direction of the trains, which can be either east or west.",6
menu,5526,7,"What dishes made their first and last appearances in 1855 and 1900, respectively?",SELECT name FROM Dish WHERE first_appeared = 1855 AND last_appeared = 1900,SELECT * FROM dish WHERE first_appeared = '1855' AND last_appeared = '1900';,SELECT dish.name FROM dish WHERE dish.first_appeared = 1855 AND dish.last_appeared = 1900,SELECT dish.name FROM dish INNER JOIN MenuItem AS T2 ON T1.id = T2.dish_id WHERE dish.last_appeared - dish.first_appeared > [placeholder-type:numeric],"The virtual table describes the names of dishes from the 'dish' table that have a significant historical duration, indicated by the difference between the last and first appearance years being greater than a specified numeric value. The query joins the 'dish' table with the 'MenuItem' table to ensure that only dishes that are part of menu items are considered.",7
menu,5484,6,"How many dishes are there in total in the menus with the name ""Waldorf Astoria""?",SELECT SUM(CASE WHEN T3.name = 'Waldorf Astoria' THEN 1 ELSE 0 END) FROM MenuItem AS T1 INNER JOIN MenuPage AS T2 ON T1.menu_page_id = T2.id INNER JOIN Menu AS T3 ON T2.menu_id = T3.id,SELECT COUNT(DISTINCT menuitem.dish_id) AS total_dishes FROM menu JOIN menupage ON menu.id = menupage.menu_id JOIN menuitem ON menupage.id = menuitem.menu_page_id WHERE menu.name = 'Waldorf Astoria',SELECT COUNT(menuitem.dish_id) FROM menu INNER JOIN menupage ON menu.id = menupage.menu_id INNER JOIN menuitem ON menupage.id = menuitem.menu_page_id WHERE menu.name = 'Waldorf Astoria',SELECT SUM(CASE WHEN dish.name = '[placeholder-type:string]' THEN [placeholder-type:numeric] ELSE [placeholder-type:numeric] END) FROM menuitem INNER JOIN MenuPage AS T2 ON T1.menu_page_id = T2.id INNER JOIN Menu AS T3 ON T2.menu_id = T3.id INNER JOIN Dish AS T4 ON T1.dish_id = T4.id WHERE menu.call_number IS NULL,"The virtual table calculates the total number of times a specific dish appears in the menu items, using a conditional sum based on the dish's name. It joins multiple tables: 'menuitem' to get the menu items, 'menupage' to link to the corresponding menu pages, 'menu' to filter menus that are DIY (without a sponsor), and 'dish' to identify the specific dish by its name. The placeholders represent the dish name and numeric values for the sum calculation.",9
shooting,2466,7,"Among the 'Handgun' weapon used by subject, how many percent were 'Shoot and Miss'?",SELECT CAST(SUM(subject_statuses = 'Shoot and Miss') AS REAL) * 100 / COUNT(case_number) FROM incidents WHERE subject_weapon = 'Handgun',SELECT (CAST(COUNT(CASE WHEN subject_statuses = 'Shoot and Miss' THEN 1 END) AS FLOAT) / COUNT(*)) * 100 AS percentage FROM incidents WHERE subject_weapon = 'Handgun';,SELECT CAST(SUM(incidents.subject_statuses = 'Shoot and Miss') AS FLOAT) * 100 / COUNT(incidents.case_number) FROM incidents WHERE incidents.subject_weapon = 'Handgun',SELECT CAST(SUM(incidents.subject_statuses = '[placeholder-type:string]') AS FLOAT) * [placeholder-type:numeric] / COUNT(incidents.case_number) FROM incidents WHERE incidents.subject_weapon = '[placeholder-type:string]',"The virtual table calculates the proportion of incidents with a specific subject status and weapon type from the 'incidents' table. It sums the occurrences of a specified subject status, multiplies it by a numeric placeholder, and divides by the total count of case numbers to derive a ratio.",7
law_episode,1303,7,What is the title of the episodes that were least enjoyed?,SELECT T1.title FROM Episode AS T1 INNER JOIN Vote AS T2 ON T1.episode_id = T2.episode_id WHERE T2.stars = 1,SELECT episode.title FROM episode JOIN vote ON episode.episode_id = vote.episode_id WHERE vote.stars = '1' ORDER BY vote.stars ASC LIMIT 10,SELECT episode.title FROM episode INNER JOIN vote ON episode.episode_id = vote.episode_id GROUP BY episode.episode_id ORDER BY AVG(vote.stars) ASC,SELECT episode.title FROM episode INNER JOIN Keyword AS T2 ON T1.episode_id = T2.episode_id WHERE keyword.keyword = '[placeholder-type:string]',"The virtual table describes the titles of episodes from the 'episode' table that are associated with a specific keyword. The query uses an inner join with the 'keyword' table to filter episodes based on the provided keyword, represented by a placeholder.",7
european_football_2,10501,7,Which player is the tallest?,SELECT player_name FROM Player ORDER BY height DESC LIMIT 1,"SELECT player_name, height FROM player ORDER BY height DESC LIMIT 1;",SELECT player.player_name FROM player WHERE player.height = (SELECT MAX(player.height) FROM player),SELECT player.player_name FROM player WHERE player.height > [placeholder-type:numeric] ORDER BY player.player_name LIMIT [placeholder-type:numeric],"The virtual table describes the names of players from the 'player' table who have a height greater than a specified value. The results are ordered by the player's name and limited to a certain number of entries, as indicated by the placeholders.",9
soccer_2016,1818,5,"In the database, how many times is the number of Indian cities to the South African cities?",SELECT CAST(SUM(CASE WHEN T2.Country_Name = 'India' THEN 1 ELSE 0 END) AS REAL) / SUM(CASE WHEN T2.Country_Name = 'South Africa' THEN 1 ELSE 0 END) FROM City AS T1 INNER JOIN Country AS T2 ON T1.Country_Id = T2.Country_Id,SELECT (SELECT COUNT(*) FROM city WHERE country_id = (SELECT country_id FROM country WHERE country_name = 'India' LIMIT 1)) / (SELECT COUNT(*) FROM city WHERE country_id = (SELECT country_id FROM country WHERE country_name = 'South Africa' LIMIT 1)) AS city_ratio;,SELECT (SELECT COUNT(*) FROM city JOIN country ON city.country_id = country.country_id WHERE country.country_name = 'India') * 1.0 / (SELECT COUNT(*) FROM city JOIN country ON city.country_id = country.country_id WHERE country.country_name = 'South Africa') AS city_ratio;,No BOs provided,No BOs,No BOs provided
soccer_2016,2008,7,List the names of players who play by the left hand.,SELECT T1.Player_Name FROM Player AS T1 INNER JOIN Batting_Style AS T2 ON T1.Batting_hand = T2.Batting_Id WHERE T2.Batting_hand = 'Left-hand bat',SELECT player.player_name FROM player JOIN batting_style ON player.batting_hand = batting_style.batting_id WHERE batting_style.batting_hand = 'left';,SELECT player.player_name FROM player INNER JOIN batting_style ON player.batting_hand = batting_style.batting_id WHERE batting_style.batting_hand = 'Left-hand bat',SELECT player.player_name FROM player INNER JOIN Bowling_Style AS T2 ON T1.Bowling_skill = T2.Bowling_Id WHERE bowling_style.bowling_skill = '[placeholder-type:string]',"The virtual table describes the names of players from the 'player' table who have a specific bowling skill. The query uses an INNER JOIN to connect the 'player' table with the 'bowling_style' table based on the bowling skill ID, allowing for filtering by a specific bowling skill using a placeholder.",7
public_review_platform,3774,6,"Give the percentage of ""Automotive"" businesses among all the Yelp businesses.","SELECT CAST(SUM(CASE WHEN T2.category_name LIKE 'Automotive' THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(T1.business_id) AS ""percentage"" FROM Business_Categories AS T1 INNER JOIN Categories AS T2 ON T1.category_id = T2.category_id",SELECT (COUNT(CASE WHEN bc.category_id = (SELECT category_id FROM categories WHERE category_name = 'Automotive') THEN 1 END) * 100.0 / COUNT(*)) AS percentage_automotive FROM business b LEFT JOIN business_categories bc ON b.business_id = bc.business_id;,SELECT (COUNT(CASE WHEN categories.category_name = 'Automotive' THEN business.business_id END) * 100.0 / COUNT(business.business_id)) AS percentage_automotive FROM business INNER JOIN business_categories ON business.business_id = business_categories.business_id INNER JOIN categories ON business_categories.category_id = categories.category_id;,SELECT CAST(SUM(CASE WHEN categories.category_name = '[placeholder-type:string]' THEN [placeholder-type:numeric] ELSE [placeholder-type:numeric] END) AS FLOAT) / SUM(CASE WHEN categories.category_name = '[placeholder-type:string]' THEN [placeholder-type:numeric] ELSE [placeholder-type:numeric] END) FROM business_categories INNER JOIN Categories AS T2 ON T1.category_id = T2.category_id,"The virtual table calculates the average of a specific numeric value from the 'business_categories' table, filtered by a given category name. It uses a conditional sum to differentiate between the specified category and others, ensuring that the average is computed correctly based on the provided category name.",5
